"","card","description","type","status","category","sub_category"
"129","PROCESS - INVESTIGATE P2/P3 ENHANCEMENTS","ISSUE: Process is unstable and requires and throws a lot of exceptions. Out of the past 20 runs between the 8th of Jan and 13th Feb the Bot has attempted to process 806 cases and 668 of them were exceptions (17% completion rate). The most commonly occurring exceptions over the past 20 runs described below:
1. System Error: Adobe failed to find cached PDF = 421
2. Existing supplier = 125
3. Out of scope country = 57
4. Incomplete form = 22
5. Invalid form data = 13
6. Failed to extract PDF XML data = 12
7. Please check form = 9
8. System Exception = 6
10. Attachment is not a valid file format (PDF) = 1
11. Automatically set exception = 1
12. Email did not contain any attachments = 1

IMPACT: Cases are not processed and Academics do not get paid for marking thesis's within an appropriate time frame

ROOT-CAUSE: Each Exception to be investigated to determine.

RESOLUTION: Review most commonly occurring exceptions for resolution","PROJECT","Completed (old)","PROCESS","INVESTIGATE P2/P3 ENHANCEMENTS"
"130","AUTOMATE - IN04 VM RESTART AND LOGIN","AS A
Operational Engineer

I WANT
A process to be developed for automatically restarting VMs using the Login Agent

SO THAT
The functionality is available for ad-hoc VM restarts & regular VM maintenance","PROJECT","Completed (old)","AUTOMATE","IN04 VM RESTART AND LOGIN"
"131","INFRA - REVIEW ROM RECOMMENDATIONS","**AS A**
Operational Engineer

**I WANT**
Action recommendations noted from Blue Prism Technical Architecture Review

**SO THAT**
The infrastructure environment is robust and ready to scale

**PLAN**

- segregate DBA access so Director of Automation has Write Access and Operations Lead only has read access (https://trello.com/c/43OL0RuD/168-infra-segregate-dba-access-so-director-of-automation-has-write-access-and-operations-lead-only-has-read-access#)
- archive bulk historical session logs (https://trello.com/c/6huCt4Id/83-infra-processes-terminating-from-timeout-expired-exceptions-when-attempting-to-communicate-with-the-database)
- setup mechanism for archiving Work Queue and Audit Logs (https://trello.com/c/UKt0WxFj/134-infra-shard-existing-blueprismpro-database-into-blueprismpro2)
- document maintenance overarching maintenance Standard Operating Procedure (https://trello.com/c/dSj9FFiO/20-infra-create-blue-prism-resource-maintenance-sop-document)
- setup monitoring for standard hardware metrics (https://trello.com/c/MBqpkM5y/54-infra-setup-monitoring-for-standard-hardware-metrics)
- setup blue prism software related monitoring and alerting (https://trello.com/c/ucQC6o3X/154-monitor-mxx-bp-resource-availability & https://trello.com/c/0yywnJQ2/2324-m08-vm-status-monitoring)
- setup SQL Server related monitoring (https://trello.com/c/LFi5vwRx/155-infra-setup-sql-server-related-monitoring)
- setup logical access management model for Production Environment (https://trello.com/c/7fvI29g3/156-infra-setup-logical-access-management-model-for-production-environment)
- move existing database to dedicated SQL Server (https://trello.com/c/J2PWbdr2/111-infra-migrate-from-on-prem-database-and-application-servers-to-azure-cloud-infrastructure-and-setup-database-with-a-dedicated-sq)
- enable end to end transport security between all components (https://trello.com/c/xl39aDIl/110-infra-setup-transport-encryption-connection-mode-using-private-and-publish-key-encryptions)
- ensure appropriate settings for auto-growth rate are setup (https://trello.com/c/QvkqwCsS/145-infra-monitor-prod-database-growth-rate-to-find-out-the-optimal-auto-growth-setting)
- setup additional Application Server for load balancing and redundancy (done)
- setup login agent for automatically restarting VMs (https://trello.com/c/J0HgLPog/112-in04-vm-restart-and-login-create-automated-process-for-automatically-restarting-vms-using-login-agent)
- automate the setup of Bot VMs to assist with DR strategy (https://trello.com/c/9wki0uO5/60-in01-vm-setup-develop-solution-for-automatically-setting-up-a-new-production-vm-runtime-resource)
- create detailed Disaster Recovery plan and schedule test DR fail over ad fail back (https://trello.com/c/axIYAKky/157-infra-create-detailed-disaster-recovery-plan-and-test-fail-over-fail-back#)
- setup automated load balancing for Blue Prism Application Servers (https://trello.com/c/jhchKaa2/158-infra-setup-automated-load-balancing-for-blueprism-application-servers#)
- Improve security of users connecting to Prod Environments https://trello.com/c/s5mJrm6d/220-infra-improve-authenication-security#
","PROJECT","Completed (old)","INFRA","REVIEW ROM RECOMMENDATIONS"
"132","MONITOR - M01 UPDATE WITH SESSION LOGS","AS A 
Operational Engineer

I WANT
The session log to be attached in the email notification

SO THAT
We can start resolving the incident with session log

<U+2506>Card is synchronized with this [Trello card](https://trello.com/c/C545FYbi)
","PROJECT","Completed (old)","MONITOR","M01 UPDATE WITH SESSION LOGS"
"133","MONITOR - M01 SESSION TERMINATIONS","AS A 
Operational Engineer

I WANT
To be notified when a process terminates

SO THAT
We can investigate and resolve the incident because it causes business impact

<U+2506>Card is synchronized with this [Trello card](https://trello.com/c/C545FYbi)
","PROJECT","Completed (old)","MONITOR","M01 SESSION TERMINATIONS"
"134","OPMODEL - IDENTIFY ROLES AND RESPONSIBILITIES","","PROJECT","Completed (old)","OPMODEL","IDENTIFY ROLES AND RESPONSIBILITIES"
"135","PROCESS - OPTIMISE P7 QUEUE LOADER","","PROJECT","Completed (old)","PROCESS","OPTIMISE P7 QUEUE LOADER"
"136","OPMODEL - CREATE MIGRATION CHECKLIST","","PROJECT","Completed (old)","OPMODEL","CREATE MIGRATION CHECKLIST"
"137","OPMODEL - CREATE HANDOVER READINESS CHECKLIST","","PROJECT","Completed (old)","OPMODEL","CREATE HANDOVER READINESS CHECKLIST"
"138","APPS - SITS JULY CHANGES","done by Sean and myself","PROJECT","Completed (old)","APPS","SITS JULY CHANGES"
"139","MONITOR - M04 PENDING SESSIONS","AS A
Operations Developer

I WANT
To receive a warning notifications when processes are stuck in ""pending"" for longer the 10 minutes

SO THAT
We can action them because this is likely an issue that needs to be resolved

<U+2506>Card is synchronized with this [Trello card](https://trello.com/c/zl5leC1i)
","PROJECT","Completed (old)","MONITOR","M04 PENDING SESSIONS"
"140","INFRA - RASPBERRY PIE SETUP","","PROJECT","Completed (old)","INFRA","RASPBERRY PIE SETUP"
"141","INFRA - ADD 101 LICENCES","","PROJECT","Completed (old)","INFRA","ADD 101 LICENCES"
"142","PROCESS - Stabilise P53","**AS A**
Operational Engineer

**I WANT**
stabilise P53

**SO THAT**
Mark can role off smoothly","PROJECT","Completed (old)","PROCESS","Stabilise P53"
"143","INFRA - SESSION DURATION REPORT","Historial session duration report including: 

- average duration
- top 3 peak period duration
- lowest 3 duration

This will facilitate the run management scheduling and forecasting

<U+2506>Card is synchronized with this [Trello card](https://trello.com/c/DV1sonb6)
","PROJECT","Completed (old)","INFRA","SESSION DURATION REPORT"
"144","INFRA - SETUP 20 PROD VMS","","PROJECT","Completed (old)","INFRA","SETUP 20 PROD VMS"
"145","OPMODEL - PREP FOR ROM AUDIT","AS A
Steve Phillips

I WANT
An Audit to be conducted on the AI Hubs Blue Prism function

SO THAT
Areas of improvement can be identified","PROJECT","Completed (old)","OPMODEL","PREP FOR ROM AUDIT"
"146","INFRA - UPGRADE TO BP 6.5","","PROJECT","Completed (old)","INFRA","UPGRADE TO BP 6.5"
"147","INFRA - PUBLISHING TOOL","**AS A**
Operational Engineer

**I WANT**
build tool to automatically publish all applications in the Production Environment

**SO THAT**
https://trello.com/c/PbRBG1AU/170-infra-sometimes-when-processes-are-migrated-to-the-production-environment-they-are-no-longer-published#

**DEV NOTES**
This can be achieved by using the Blue Prism ""AutomateC.exe"" command line tool. The general design will be:

1. Identify all processes that need to be published ("".\AutomateC.exe /listprocesses"")
2. Loop through each process and Publish them using AutomateC.exe command line tool (e.g. "".\AutomateC.exe /publish ""Process Name"" /user ""Username"" ""Password"""")","PROJECT","Completed (old)","INFRA","PUBLISHING TOOL"
"148","PROCESS - UPDATE USE OF TAGS","**AS A**
Operational Engineer

**I WANT**
update all processes that use tags excessively so that they dont create massive BPATag tables in the Blue Prism database

**SO THAT**
https://trello.com/c/hZQcgGHa/146-infra-processes-currently-using-tags-heavily-sometimes-for-unique-identifiers-which-is-clogging-up-the-bpatags-table-in-the-prod

**PLAN**
1. update QA Checklist to check excessive use of tags (DONE)
2. review processes that use Tags excessively / sometimes as a unique Identifier (https://trello.com/c/GZrCNV6O/2101-infra-create-script-to-identify-processes-that-use-excessive-use-of-tags#)
3. modify processes so that they dont use Tags excessively","PROJECT","Completed (old)","PROCESS","UPDATE USE OF TAGS"
"149","REPORT - TRELLO DELIVERY DASHBOARD","**AS A**
Delivery Team Lead / Associate Director

**I WANT**
understand process timeline per Process difficulty level (easy, med, hard).

**SO THAT**
I can effective plan for future resources.","PROJECT","Completed (old)","REPORT","TRELLO DELIVERY DASHBOARD"
"150","REPORT - PROCESS DASHBOARD FOR WAYNE","**AS A**
CFO Wayne Andrews

**I WANT**
To create a PBI report that highlights key performance indicators of Wayne's specific processes:

- P67 Safety Bot
- P74 Holiday Bot 
- P76 Account Balance Bot

**SO THAT**
The CFO can successfully and intuitively track the performance of the specified Bots.","PROJECT","Completed (old)","REPORT","PROCESS DASHBOARD FOR WAYNE"
"151","INFRA - SETUP ADDITIONAL DATABASE","AS A
Operational Engineer

I WANT
To setup an addition database that backs up historical Production session and log data

SO THAT
After archiving the live Production session and log data we can still report on it from the backup database","PROJECT","Completed (old)","INFRA","SETUP ADDITIONAL DATABASE"
"152","OPMODEL - DOCUMENT SERVICE MANAGEMENT","- incidents
- problems
- requests
- enhancements","PROJECT","Completed (old)","OPMODEL","DOCUMENT SERVICE MANAGEMENT"
"153","AUTOMATE - CONSOLIDATE OUTLOOK PROFILES","**AS A**
Operational Engineer

**I WANT**
develop script that creates an aggregated Outlook Registry for all Outlook Profiles on VMs

**SO THAT**
https://trello.com/c/ReoLIrgY/129-outlook-processes-unable-to-run-on-other-vms-sometimes-because-outlook-profiles-are-not-consistent-across-all-vms","PROJECT","Completed (old)","AUTOMATE","CONSOLIDATE OUTLOOK PROFILES"
"154","APPS - SITS AUGUST RELEASE","**AS A**
Operational Engineer

**I WANT**
plan for upcoming SITS changes

**SO THAT**
impacts to production environment are minimised

**PLAN**
1. Review User Stories that will be changed to assess impacts (https://trello.com/c/uesL31s2/2017-sits-review-user-stories-that-will-be-changed-to-assess-impacts)
2. Test User Stories that will be effecting Prod Processes (https://trello.com/c/JpRTU9CJ/2282-sits-test-user-stories-that-will-be-effecting-prod-processes)
3. Make appropriate changes to effected processes ","PROJECT","Completed (old)","APPS","SITS AUGUST RELEASE"
"155","OPMODEL - SETUP TRELLO RESOURCES BOARD","**AS A**
Operational Engineer

**I WANT**
shift documentation of resource allocation from Run Management Tool to Trello Resource Allocation board

**SO THAT**
allocation of resources can be managed via mobile and online","PROJECT","Completed (old)","OPMODEL","SETUP TRELLO RESOURCES BOARD"
"156","INFRA - CREATE BP MAINTENANCE DOC","AS A
Operational Engineer

I WANT
To document the SOP for performing regular maintenance on the various Resource Machines (Application Server, Database, Run-time Resources, Interactive Clients)

SO THAT
The production environment can be enabled as a highly available system

ACCEPTANCE CRITERIA
- Database maintenance should cover archiving
- Run-time Resources should cover login agent restarts","PROJECT","Completed (old)","INFRA","CREATE BP MAINTENANCE DOC"
"157","PROCESS - INVESTIGATE P74 ADDITIONAL BENEFITS","**AS A**
CFO Wayne Andrews

**I WANT**
capture additional benefits for during of days for the various categories:
1. Suspicious
2. Reported
3. Not Reported

**SO THAT**
The appropriate benefits for the process are captured","PROJECT","Completed (old)","PROCESS","INVESTIGATE P74 ADDITIONAL BENEFITS"
"158","OPMODEL - plan for ROM assessment","","PROJECT","Completed (old)","OPMODEL","plan for ROM assessment"
"159","MONITOR - CREATE MONITORING ARCHITECTURE","","PROJECT","Completed (old)","MONITOR","CREATE MONITORING ARCHITECTURE"
"160","MONITOR - M05 WARNING STATE","AS A 
Operational Engineer

I WANT
To be notified when a processes stuck in ""warning""for longer then 15 minutes

SO THAT
We can investigate and resolve the incident because it causes business impact

<U+2506>Card is synchronized with this [Trello card](https://trello.com/c/C545FYbi)
","PROJECT","Completed (old)","MONITOR","M05 WARNING STATE"
"161","APPS - HANDLE FOR ONESTOP UPGRADE","**AS A**
Operational Engineer

**I WANT**
to handle for the OneStop upgrade on the 25th Sept

**SO THAT**
the processes that interact with it (P10) are not negatively impacted","PROJECT","Completed (old)","APPS","HANDLE FOR ONESTOP UPGRADE"
"162","MONITOR - M05 PROCESS RUN TIME","AS A
Run Operator

I WANT
To be sent a warning email notification when a process has been running for 10 times longer then its average processing time.

SO THAT
I know to investigate if an incident needs to be reported","PROJECT","Completed (old)","MONITOR","M05 PROCESS RUN TIME"
"163","INFRA - SETUP MONITORING TOOL ON APP SERVER","**AS A**
Operational Engineer

**I WANT**
setup Monitoring Tool on a dedicated Application Server

**SO THAT**
the Application Server can be used specifically for monitoring","PROJECT","Completed (old)","INFRA","SETUP MONITORING TOOL ON APP SERVER"
"164","MONITOR - M06 BP APP SERVER AVAILABILITY","**AS A**
Operational Engineer

**I WANT**
setup blue prism software related monitoring and alerting for when the BP Server services on the Application Servers is not available

**SO THAT**
https://trello.com/c/aJyxNvUe/143-infra-action-recommendations-noted-from-blue-prism-technical-architecture-review","PROJECT","Completed (old)","MONITOR","M06 BP APP SERVER AVAILABILITY"
"165","OPMODEL - CREATE QUARTERLY ROADMAP","**AS A**
Operational Engineer

**I WANT**
create road map for Operations Industrialisation

**SO THAT**
the direction and next steps for the Operations Team is clear for the next 3 months","PROJECT","Completed (old)","OPMODEL","CREATE QUARTERLY ROADMAP"
"166","INFRA - SEGREGATE DB ACCESS","**AS A**
Operational Engineer

**I WANT**
segregate DBA access so Director of Automation has Write Access and Operations Lead only has read access

**SO THAT**
https://trello.com/c/aJyxNvUe/143-infra-action-recommendations-noted-from-blue-prism-technical-architecture-review

**PLAN**

1. https://trello.com/c/A6nRWEgs/2408-infra-raise-request-with-ict-to-change-blueprismprod2-database-users-to-create-automationdirector-admin-user-create-blueprismbot#
2. https://trello.com/c/8BAF8mcu/2409-infra-configure-monitoring-tool-to-use-blueprismmonitoring-database-user-for-reading-the-database#
3. https://trello.com/c/im4515Yu/2410-infra-configure-production-application-services-to-use-blueprismbot-for-accessing-the-database#
4. https://trello.com/c/ilVv8QCY/2857-infra-update-power-bi-logins-to-use-blueprismread-username#
5. https://trello.com/c/sw1urLHT/2411-infra-setup-jonathan-parsons-so-that-he-is-able-to-login-to-the-database-to-make-emergency-database-changes-using-automationdire#
6. https://trello.com/c/1Y1fe6tP/2412-infra-raise-request-with-ict-to-change-blueprismprod2-database-users-by-changing-tbun2893-user-from-admin-to-read-only#","PROJECT","Completed (old)","INFRA","SEGREGATE DB ACCESS"
"167","PROCESS - UPDATE P106 SDD (IN03)","**AS A**
Operational Engineer

**I WANT**
update the solution design document for P106

**SO THAT**
It uses the correct naming convention for the process name, includes the correct sections, and includes benefits for Steve to Sign off","PROJECT","Completed (old)","PROCESS","UPDATE P106 SDD (IN03)"
"168","OPMODEL - HANDOVER PROCESSES","**AS A**
Operational Engineer

**I WANT**
increase the number of processes under Production Support or under USYD third tier support in stabilisation

**SO THAT**
processes are running smoothly in Production","PROJECT","Completed (old)","OPMODEL","HANDOVER PROCESSES"
"169","APPS - SITS API INVESTIGATION","**AS A**
Operational Engineer

**I WANT**
Investigate what parts of SITS our processes most interact with

**SO THAT**
We can work with the SITS Team (Graham Batersbey) to priorities APIs that can be built for our Bots","PROJECT","Completed (old)","APPS","SITS API INVESTIGATION"
"170","AUTOMATE - IN02 VM MAINTENANCE","AS A
Operational Engineer

I WANT
To have a solution for automatically performing maintencance checks on Production VMs

SO THAT
The process is streamlined and automated","PROJECT","Completed (old)","AUTOMATE","IN02 VM MAINTENANCE"
"171","OPMODEL - SETUP AIHUB GITHUB","**AS A**
Operational Engineer

**I WANT**
Setup AI Hub GITHUB

**SO THAT**
Source code for Python and R etc can be centrally managed and hosted","PROJECT","Completed (old)","OPMODEL","SETUP AIHUB GITHUB"
"172","PROCESS - P5 / P52 UPDATE OBJECT LAYER","**AS A**
Operational Engineer

**I WANT**
Update P5 and P52 so that they no longer use the old SITS objects and instead use the new Modularised SITS objects (old SITS objects below):

- Sydney Student (Backend) - ACD Table
- Sydney Student (Backend) - ADD Table
- Sydney Student (Backend) - Launch and General
- Sydney Student (Backend) - PRS Table


**SO THAT**
The processes are up to standard and are easier to maintain","PROJECT","Completed (old)","PROCESS","P5 / P52 UPDATE OBJECT LAYER"
"173","REPORT - PBI DATA CONNECTOR FOR TRELLO","With the long term goal of creating a dashboard for the operations team, a ""data-connector"" or ""web-hook"" is required to directly connect the Trello database to the PowerBI dashboard. This will allow for direct monitoring, analytics and performance tracking","PROJECT","Completed (old)","REPORT","PBI DATA CONNECTOR FOR TRELLO"
"174","APPS - SERVICENOW UPGRADE","**AS A**
Operational Engineer

**I WANT**
Test all processes in Production that use Service Now

**SO THAT**
the application changes are handled for with regards to the up coming Service now upgrade","PROJECT","Completed (old)","APPS","SERVICENOW UPGRADE"
"175","MONITOR - SLACK MIGRATION","**AS A**
Operational Engineer

**I WANT**
the monitoring shift from outlook to slack

**SO THAT**
the monitoring tool is independent on other applications","PROJECT","Completed (old)","MONITOR","SLACK MIGRATION"
"176","PROCESS - USE SCREENSHOT FEATURE","**AS A**
Operational Engineer

**I WANT**
all the process will add screenshot action developed by Roger after marking a work queue item as exception in Recovery Stage

**SO THAT**
the screenshot can be automatically attached to the trello ticket ","PROJECT","Completed (old)","PROCESS","USE SCREENSHOT FEATURE"
"177","APPS - SITS OCTOBER RELEASE","**AS A**
Operational Engineer

**I WANT**
plan for October SITS changes by doing the following:
1. Test the new environment to assess the impacts (https://trello.com/c/bQRE6JVY/1931-sits-plan-for-october-sits-changes-by-testing-the-new-environment-to-assess-the-impacts)
2. Test VM compatibility (https://trello.com/c/8kaOze7h/2819-sits-check-sits-970-compatibility-on-prod-vms)
3. Work with devs to complete outstanding impact testing (https://trello.com/c/k3ylifWH)
4. Make appropriate code changes where needed (https://trello.com/c/rUvLCiT8/2597-sits-october-release-make-changes-to-sits-objects-in-prod) 



**SO THAT**
Minimal impacts occur in the Prod environment","PROJECT","Completed (old)","APPS","SITS OCTOBER RELEASE"
"178","REPORT - TRELLO DELIVERY DASHBOARD","**AS A**
Delivery Team Lead / Associate Director

**I WANT**
to understand the development cadence for all processes.

**SO THAT**
I can effective plan for future resources.","PROJECT","Completed (old)","REPORT","TRELLO DELIVERY DASHBOARD"
"179","OPMODEL - ONBOARD GDS RESOURCES","**AS A**
AI Hub Team Lead

**I WANT**
on-board new GDS resources

**SO THAT**
Optimise resourcing and ability to develop and support processes","PROJECT","Completed (old)","OPMODEL","ONBOARD GDS RESOURCES"
"180","PROCESS - SPLIT P5 INTO P116 AND P117","**AS A**
Operational Engineer

**I WANT**
split P5 into P116 and P117

**SO THAT**
we can split the process up for each Outlook profile and so it can be used as a sub processes for future student document upload processes","PROJECT","Completed (old)","PROCESS","SPLIT P5 INTO P116 AND P117"
"181","TRAIN - LEARN ABOUT CHATBOTS","**AS A**
Operational Engineer

**I WANT**
Learn about how chatbots are built, developed and supported

**SO THAT**
We can take over the Chatbots that are currently being developed and support them in Production","PROJECT","Completed (old)","TRAIN","LEARN ABOUT CHATBOTS"
"182","PROCESS - P5 UPDATE QUEUE LOADER","Context: The current P5 loader makes too many calls to the Exchange sever as part of its normal operation. This results in the bot being throttled and email actions being denied. This is causing a high level of exceptions.

Solution:
Using bulk email functions provided in the Outlook VBO extended, many actions can be completed in one call to the exchange server. This will require the process flow to be re-engineered
","PROJECT","Completed (old)","PROCESS","P5 UPDATE QUEUE LOADER"
"183","INFRA - P82 HAZMAT INFRA SETUP","**AS A**
Operational Engineer

**I WANT**
Make sure environment is setup and ready for maintenance for WinSCP, MS Flow App and MS Flow Data Gateway

**SO THAT**
The additional VM setup and maintenance requirements for the P82 Configuration Item are documented

**PLAN**
1. document requirements (https://trello.com/c/VCnN0v34/2291-p82-document-setup-and-maintenance-of-winscp-ms-flow-app-and-ms-flow-data-gateway#)","PROJECT","Completed (old)","INFRA","P82 HAZMAT INFRA SETUP"
"184","OPMODEL - VISUALISE WEEKLY SCHEDULES","**AS A**
Operational Engineer

**I WANT**
to visualize weekly schedule from the real-time data

**SO THAT**
the run management schedule does not need to be manually updated","PROJECT","Completed (old)","OPMODEL","VISUALISE WEEKLY SCHEDULES"
"185","INFRA - SETUP 10 NEW VMS","**AS A**
Operational Engineer

**I WANT**
Setup 4 Dev VMs and 6 Prod VMs

**SO THAT**
We are able to develop processes and support Production process capacity","PROJECT","Completed (old)","INFRA","SETUP 10 NEW VMS"
"186","INFRA - DEPLOY CHATBOT FRONTEND","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","INFRA","DEPLOY CHATBOT FRONTEND"
"187","INFRA - SETUP UIPATH LICENSES","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","INFRA","SETUP UIPATH LICENSES"
"188","PROCESS - UPDATE P23 SO ITS FIXED","**AS A**
Operational Engineer

**I WANT**
update P23

**SO THAT**
so that the business are happy with how its performing","PROJECT","Completed (old)","PROCESS","UPDATE P23 SO ITS FIXED"
"189","PROCESS - UPDATE P12 SO ITS FIXED","**AS A**
Operational Engineer

**I WANT**
update P12

**SO THAT**
so that the business are happy with how its performing","PROJECT","Completed (old)","PROCESS","UPDATE P12 SO ITS FIXED"
"190","PROCESS - UPDATE P10 SOLUTION DESIGN DOC","**AS A**
Operational Engineer

**I WANT**
the solution design document for P10 to be updated

**SO THAT**
the appropriate business rules are described","PROJECT","Completed (old)","PROCESS","UPDATE P10 SOLUTION DESIGN DOC"
"191","PROCESS - INVESTIGATE P91/P98/P99/P100 CHANGE","**AS A**
Operational Engineer

**I WANT**
Investigate the effort required to change the P91 / P98 / P99 and P100 Faculty Services Email Triage processes so that the solution is aligned with the upcoming shift from Outlook to Service Now. The shift will be occurring on the 25th of November and Faculty Services will no longer be using Outlook for requests from that date onwards.

**SO THAT**
so that the solution is aligned with the upcoming shift from Outlook to Service Now","PROJECT","Completed (old)","PROCESS","INVESTIGATE P91/P98/P99/P100 CHANGE"
"192","MONITOR - UPDATE SCHEDULE VIEW","**AS A**
Operational Engineer

**I WANT**
- weekly view
- daily view - update blank values with z = 0 to stand out more
- daily view - investigate incorrect z number of P6 etc

**SO THAT**
Boom town","PROJECT","Completed (old)","MONITOR","UPDATE SCHEDULE VIEW"
"193","PROCESS - FIX P52 LOADER","**AS A**
Operational Engineer

**I WANT**
fix P52 loader

**SO THAT**
its not using the Temporary Loader anymore","PROJECT","Completed (old)","PROCESS","FIX P52 LOADER"
"194","TRAIN - FINALISE CHATBOT HANDOVER","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","TRAIN","FINALISE CHATBOT HANDOVER"
"195","PROCESS - P42 ENHANCEMENTS","**AS A**
Operational Engineer

**I WANT**
implement P42 enhancements requested by the business

**SO THAT**
processes is running stable in Production","PROJECT","Completed (old)","PROCESS","P42 ENHANCEMENTS"
"196","INFRA - FINALISE 6 PROD VM SET","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","INFRA","FINALISE 6 PROD VM SET"
"197","REPORT - VISUALISE UTILISATION OF AIHUB DEVELOPERS","**AS A**
Operational Engineer

**I WANT**
Visualise the capacity of Run effort for Enhancements, Incidents and Requests

**SO THAT**
The capacity of Dev's and Operational Engineers can be fully observed along side the Dev Dashboard","PROJECT","Completed (old)","REPORT","VISUALISE UTILISATION OF AIHUB DEVELOPERS"
"198","REPORT - PowerBI Dashboard Handover","Handover of the PowerBI dashboards and dataflows to Vic/BluePrismBot account.","PROJECT","Completed (old)","REPORT","PowerBI Dashboard Handover"
"199","INFRA - Map out Office 365 licences that are used on each VM","**AS A**
Operational Engineer

**I WANT**
Map out Office 365 licences that are used on each VM

**SO THAT**
when creating new VMs and logging in to VMs processes dont fail to open Office because its installed on different VMs with the same UniKey with license limits","PROJECT","Completed (old)","INFRA","Map out Office 365 licences that are used on each VM"
"200","PROCESS - INVESTIGATE AND IMPROVE P106 EXCEPTION CAPTURING","**AS A**
Operational Engineer

**I WANT**
investigate and improve P106 Exception Capturing

**SO THAT**
the process is up to QA standards and robust for Production","PROJECT","Completed (old)","PROCESS","INVESTIGATE AND IMPROVE P106 EXCEPTION CAPTURING"
"201","INFRA - UPGRADE TO BLUE PRISM 6.5.1","**AS A**
Operational Engineer

**I WANT**
Upgrade from Blue Prism version 6.5.0 to version 6.5.1 (https://portal.blueprism.com/products/enterprise)

**SO THAT**
We can resolve some of the existing Blue Prism Bugs (e.g. https://trello.com/c/ogxvQgoM/85-infra-blueprism-work-queue-item-cannot-filter-properly)","PROJECT","Completed (old)","INFRA","UPGRADE TO BLUE PRISM 6.5.1"
"202","PROCESS - OPTIMISE P116 & P117 WITH BUSINESS","**AS A**
Operational Engineer

**I WANT**
to review the current Document Upload processes with Admissions team

**SO THAT**
they are performing well and further investigation into using the Document Uploads process for other inboxes can be explored","PROJECT","Completed (old)","PROCESS","OPTIMISE P116 & P117 WITH BUSINESS"
"203","INFRA - SETUP 3 PROD VMS","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Completed (old)","INFRA","SETUP 3 PROD VMS"
"204","PROCESS - P20 / P21 Peak Periods","**AS A**
Operational Engineer

**I WANT**
plan for and keep an eye on the P20 Adding Sanctions and P21 Removing Sanctions Peak Periods

**SO THAT**
the processes run smoothly and processes cases within a sufficient amount of time","PROJECT","Completed (old)","PROCESS","P20 / P21 Peak Periods"
"205","APPS - HANDLE SITS WEB OUTAGE","**AS A**
Operational Engineer

**I WANT**
handle for the SITS Portal Web outage thats planned for 10pm 17th Dec until 8am 18th Dev

**SO THAT**
All processes that need to be ran can be rescheduled","PROJECT","Completed (old)","APPS","HANDLE SITS WEB OUTAGE"
"206","APPS - HANDLE SITS DEC UPGRADE","**AS A**
Operational Engineer

**I WANT**
handle for Sydney Student Web update

**SO THAT**
all processes run smoothly after upgrade","PROJECT","Completed (old)","APPS","HANDLE SITS DEC UPGRADE"
"207","MS Excel VBO - May read in timestamps without the seconds value","**ISSUE**
A cell with the value ""25/09/2019  11:00:45 PM"" will be displayed as ""25/09/2019 23:00"".

When the _Get Worksheet As Collection_ action is used, the displayed value is fetched instead of the actual value, resulting in the omission of the seconds value.

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**
Use _MS Excel_, but that object has issues of its own.

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","MS","MS Excel May read in timestamps without the seconds value"
"208","MS Excel - Fails to read in worksheet as a collection if any of the cell values contains a tab character","**ISSUE**
The _MS Excel_ object (not to be confused with _MS Excel VBO_) reads in worksheets as a collection by highlighting all cell values, copying (ctrl+c) and then splitting the copied values by the tab character. 

**IMPACT**
Since the tab character is being used as a delimiter, if any of the cell values contain a tab character, the _Get Worksheet As Collection_ action will fail. An error will be thrown asserting that a column is missing.

**ROOT-CAUSE**

**WORK-AROUND**
Remove tab characters from all cell values.

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","MS","MS Fails to read in worksheet as a collection if any of the cell values contains a tab character"
